location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
MAC,2016,13566,16366,34407163650.63684,15027349573.282349,54.61868868,21.522762959999955,-22.244405569863087
MAR,2016,13668,16366,39806318961.91138,45891355586.43359,-78.56919852000004,-19.237136759999974,-22.244405569863087
MDA,2016,13770,16366,3375421928.901123,5131372941.403687,-34.78981115999995,-27.02507340000002,-22.244405569863087
MDG,2016,13872,16366,3638931786.956085,4152063980.668396,-127.7550713999999,-62.27560632000008,-22.244405569863087
MDV,2016,13974,16366,3145153705.121338,2748408114.993469,-77.15944428000016,-94.99466549999991,-22.244405569863087
MEX,2016,14076,16366,410533852289.87524,396106860095.49927,121.13565900000026,66.9857357999999,-22.244405569863087
MHL,2016,14178,16366,510958442.4842529,17277716940.517944,11.680921680000008,-79.37700180000019,-22.244405569863087
MKD,2016,14280,16366,7005590592.902344,7568582084.840637,6.5192881799999824,-18.365772179999983,-22.244405569863087
MLI,2016,14382,16366,2774944337.6231537,5950756550.941589,-62.655336000000105,-75.34562519999996,-22.244405569863087
MLT,2016,14484,16366,20390847454.71678,24380918111.815247,92.82203286000005,-12.587858148000011,-22.244405569863087
MMR,2016,14586,16366,14972779015.541931,24408380417.516724,-117.15535379999973,-60.97341719999994,-22.244405569863087
MNE,2016,14688,16366,1810706842.8167114,2885356617.590393,4.100550959999993,-21.91247639999997,-22.244405569863087
MNG,2016,14790,16366,5237549992.270126,5418747951.647308,-78.84100914000003,-102.31928040000008,-22.244405569863087
MNP,2016,14892,16366,3384932.3828125,132191856.45758057,78.72897846000006,-68.77864080000005,-22.244405569863087
MOZ,2016,14994,16366,4160005967.5739746,10333758626.539154,-136.48291560000018,-112.03853399999986,-22.244405569863087
MRT,2016,15096,16366,2198515762.0263977,3367502328.7330933,-153.08701620000002,-134.41289700000004,-22.244405569863087
MSR,2016,14453,14356,2445524.52734375,37024805.26135254,198.74533700000046,-50.73249379999991,-21.67433796986309
MUS,2016,15402,16366,5043314323.6935425,6117742975.264343,-29.723913840000037,-17.53520148000004,-22.244405569863087
MWI,2016,15504,16366,1073954678.475647,1805863650.1843872,-110.05380780000024,-118.0474763999998,-22.244405569863087
MYS,2016,15606,16366,250755505814.98718,204775745647.3053,109.66765620000005,76.51625880000009,-22.244405569863087
NAM,2016,15810,16366,4274125718.3224487,7205131384.631958,-63.96967740000006,-86.36479739999993,-22.244405569863087
NCL,2016,15912,16366,1626501414.380005,3168210559.429138,-83.3903917200001,-91.69117619999984,-22.244405569863087
NER,2016,16014,16366,895724898.4786682,1874010296.3370972,-96.01157592000015,-94.95191933999988,-22.244405569863087
