location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
TWN,2017,24153,14356,343688380155.70953,234926074280.26245,201.56808550000034,118.20784719999978,-24.18609870535315
TZA,2017,23052,16366,8282300827.704071,11837229557.189697,-107.48473380000009,5.316663708000005,-25.095589905353147
UGA,2017,23154,16366,4314302100.586609,6031527975.670593,-71.59448340000002,-12.05558705999999,-25.095589905353147
UKR,2017,23256,16366,58639255009.07608,61524223860.07849,47.082288120000115,79.76090633999998,-25.095589905353147
UMI,2017,22213,14356,7992508.221923828,17124242.862060547,161.50248769999976,56.28658769999989,-24.18609870535315
URY,2017,23460,16366,14714175548.156555,14610653185.328003,17.533385880000015,-43.288043160000036,-25.095589905353147
USA,2017,23562,16366,2339477219511.704,2710927992736.6787,162.33239820000028,37.37367924000007,-25.095589905353147
UZB,2017,23664,16366,14311219322.385986,16182387066.912903,-39.80846820000006,-24.53953433999997,-25.095589905353147
VAT,2017,22601,14356,4170760.1657714844,67924471.67590332,94.85100671000012,-29.644844150000026,-24.18609870535315
VCT,2017,23868,16366,477813357.31744385,462138658.028656,-8.596631399999998,-56.50393019999992,-25.095589905353147
VEN,2017,24072,16366,26377179541.283443,10118733636.538696,-95.51687286000015,-120.97978259999991,-25.095589905353147
VGB,2017,22989,14356,342098782.97106934,1066405382.7277832,80.09859971999995,-23.285294259999983,-24.18609870535315
VIR,2017,1190,2010,0.0,0.0,0.0,0.0,-0.9094912
VNM,2017,24378,16366,245275932973.35437,247901217471.4563,0.749383963199999,72.53128607999996,-25.095589905353147
VUT,2017,24480,16366,192019429.14660645,348670453.2835083,-131.57225819999968,-101.31387659999987,-25.095589905353147
WLF,2017,23377,14356,519969.5897216797,36752023.99243164,131.2084274000003,-71.01059599999995,-24.18609870535315
WSM,2017,24684,16366,291802488.6804657,466672877.52661896,57.46949585999999,8.567617500000017,-25.095589905353147
YEM,2017,24786,16366,1617447283.8094788,7359867927.8984375,-142.10332980000013,-125.0556312000002,-25.095589905353147
ZAF,2017,25092,16366,113474568046.81238,96645430076.02197,20.978707200000045,138.73942079999966,-25.095589905353147
ZMB,2017,25194,16366,7828359745.044617,7560062251.458923,-111.61506060000025,-121.98079019999999,-25.095589905353147
ZWE,2017,25296,16366,3142408097.63739,4797425172.115784,-111.69342719999976,-107.64334379999981,-25.095589905353147
