location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
FJI,2018,7650,16366,2622605057.340027,3287349723.1531982,-24.51928938000003,-1.062355193999999,-26.43841369591136,Fiji
FLK,2018,7372,14356,239129109.5041504,129971353.38464355,-94.36604260000014,-88.80493559999982,-25.27750739591136,Falkland Islands (Malvinas)
FRA,2018,7854,16366,861478417799.6527,935992768467.2666,146.24418300000002,85.88723340000016,-26.43841369591136,France
FRO,2018,7956,16366,1339814761.0494385,1118299282.3441162,-93.03868799999988,-91.0855001999998,-26.43841369591136,Faroe Islands
FSM,2018,8058,16366,103100503.65820311,132056010.7758789,-106.38402119999972,-93.63852959999987,-26.43841369591136,"Micronesia, Federated States of"
GAB,2018,8160,16366,4668932957.278259,2550532751.396179,-121.72841159999977,-115.18549920000005,-26.43841369591136,Gabon
GBR,2018,8262,16366,867045049222.8647,890155690118.2139,174.22140600000043,80.15967839999979,-26.43841369591136,United Kingdom
GEO,2018,8364,16366,7403517002.09964,11789790000.178589,-6.271392480000014,-24.530776620000054,-26.43841369591136,Georgia
GHA,2018,8466,16366,14917399843.508118,14029450127.404358,-98.5796299200001,-90.5382804,-26.43841369591136,Ghana
GIB,2018,8568,16366,166799002.91455078,9890308444.653015,44.80694964,-63.363436319999856,-26.43841369591136,Gibraltar
GIN,2018,8670,16366,2138709001.7306519,5191612779.509888,-121.82906520000027,-117.11550239999995,-26.43841369591136,Guinea
GMB,2018,8874,16366,94782835.50427246,1314625279.6160889,-82.21943579999996,-80.62706279999992,-26.43841369591136,Gambia
GNB,2018,8976,16366,125199411.61987305,349087560.1902466,-221.7724799999998,-98.59945565999983,-26.43841369591136,Guinea-Bissau
GNQ,2018,9078,16366,4658971388.089844,1035277519.4171143,-199.4932116000003,-92.88263819999999,-26.43841369591136,Equatorial Guinea
GRC,2018,9180,16366,80679227035.66553,85184737174.89587,9.268687980000005,108.9987299999998,-26.43841369591136,Greece
GRD,2018,9282,16366,32548689.339904785,248495652.56896973,14.347055819999976,-55.50321839999997,-26.43841369591136,Grenada
GRL,2018,9384,16366,1005280525.3145142,794779798.716217,-129.93460739999978,-96.48934085999983,-26.43841369591136,Greenland
GTM,2018,9486,16366,12305425215.356018,19865739889.805542,-47.52145115999995,16.15523634000002,-26.43841369591136,Guatemala
GUM,2018,9690,16366,29538633.93811035,1107722654.6154785,68.2988940000001,6.994599000000018,-26.43841369591136,Guam
GUY,2018,9792,16366,1512651496.833252,2171702226.4849243,-71.08714559999994,-95.45433360000007,-26.43841369591136,Guyana
HKG,2018,9894,16366,226658476550.52264,741568512836.4315,90.93791640000016,171.1102427999999,-26.43841369591136,"Hong Kong S.A.R., China"
HND,2018,10098,16366,10867273789.18872,12811683385.985596,-76.67455259999981,-58.01117399999991,-26.43841369591136,Honduras
HRV,2018,10200,16366,33020438590.32544,33725111003.91736,78.00238859999993,151.08374640000014,-26.43841369591136,Croatia
HTI,2018,10302,16366,1760427220.3726807,4460748292.884155,-93.77120099999995,-92.5197150600002,-26.43841369591136,Haiti
HUN,2018,10404,16366,151916045098.40186,135416771316.74829,146.2247010000001,91.53204600000014,-26.43841369591136,Hungary
IDN,2018,10506,16366,208414783355.0832,206614546410.37988,-4.882657073999994,123.90556080000022,-26.43841369591136,Indonesia
IND,2018,10608,16366,523609650731.2402,594913647828.6636,53.08779006000006,254.01431279999954,-26.43841369591136,India
IOT,2018,10185,14356,7475164.920654297,37216582.968688965,66.1895602000001,-46.99923928000007,-25.27750739591136,British Indian Ocean Territory
IRL,2018,10812,16366,389013915539.2514,311998598085.4652,131.10319080000022,-0.35524751760000056,-26.43841369591136,Ireland
IRN,2018,10914,16366,64868627283.84436,52359442950.2323,-62.906072400000085,-74.25131820000003,-26.43841369591136,Iran
